Регіон,Рада,Тип ради,Партія,ТВО/ОВО,"Прізвище, ім’я, по батькові",Відомості,Кількість отриманих голосів,% голосів від квоти,"Виборчий округ, в якому обрано"
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Перший кандидат,Камінський Валерій Владиславович,"Громадянин України, народився 26.08.1983 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", ТОВ ""Інномед-центр ендохірургії"", Лікар уролог, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",,,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",1,Чайковський Павло Миколайович,"Громадянин України, народився 07.02.1985 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Філія–Вінницьке обласне управління АТ ""Ощадбанк"", Начальник відділу організації роздрібного кредитування, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",610.0,43.5,1
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",2,Синявська Інна Олександрівна,"Громадянка України, народилася 04.06.1975 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", ФОП Вихристюк Ірина Олександрівна, Комерційний директор, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",237.0,16.9,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",2,Гаврилова Олена Анатоліївна,"Громадянка України, народилася 29.09.1965 р., освіта професійно-технічна, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Фізична особа-підприємець, місце проживання: с. Вінницькі Хутори, Вінницький р-н, Вінницька обл.",405.0,28.88,2
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",3,Майструк Олександр Олександрович,"Громадянин України, народився 21.08.1990 р., освіта загальна середня, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", КП ""Вінницький обласний молодіжний центр праці "", виконуючий обов’язки директора, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",746.0,53.2,3
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",4,Понайотова Юлія Віталіївна,"Громадянка України, народилася 27.02.1975 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Фізична особа-підприємець, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",480.0,34.23,4
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",5,Сергійчук Сергій Петрович,"Громадянин України, народився 24.11.1981 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Фізична особа-підприємець, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",132.0,9.41,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",5,Верлан-Кульшенко Олена Олександрівна,"Громадянка України, народилася 13.07.1971 р., освіта вища, безпартійна, Фізична особа-підприємець, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",311.0,22.18,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",6,Заремба В’ячеслав Броніславович,"Громадянин України, народився 27.07.1981 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", ПП ""АН ""ОЛІМП"", Директор, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",855.0,60.98,6
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Перший кандидат,Алекса Олег Юрійович,"Громадянин України, народився 16.04.1966 р., освіта вища, безпартійний, Фізична особа підприємець, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",,,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",3,Горлачов Ігор Ярославович,"Громадянин України, народився 31.03.1984 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", Фізична особа підприємець, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",125.0,8.91,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",3,Грушко Сергій Сергійович,"Громадянин України, народився 11.07.1990 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", ""Польський Бульвар"", Голова ЖБК, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",297.0,21.18,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",5,Ревунов Олександр Миколайович,"Громадянин України, народився 04.06.1970 р., освіта вища, безпартійний, ПАТ ""Концерн Галнафтогаз"", Директор Департаменту міжрегіонального розвитку, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",227.0,16.19,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",6,Яременко Микола Володимирович,"Громадянин України, народився 22.01.1983 р., освіта вища, безпартійний, ПАТ""Вінницягаз"", Керівник Вінницького відділення., місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",319.0,22.75,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Перший кандидат,Борзов Сергій Сергійович,"Громадянин України, народився 12.04.1980 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""СЛУГА НАРОДУ"", Вінницька обласна державна адміністрація, Голова адміністрації, місце проживання: м. Київ, Київська обл.",,,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1,Юрчак Маргарита Ігорівна,"Громадянка України, народилася 11.05.1984 р., освіта вища, безпартійна, ВНМУ ім. М.І. Пирогова, Асистент кафедри променевої діагностики тапроменевої терапії з курсом онкології, місце проживання: м. Вінниця, Вінницкій р-н., Вінницька обл.",94.0,6.7,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1,Теренчук Олександр Вікторович,"Громадянин України, народився 09.01.1982 р., освіта вища, безпартійний, Фізична особа-підприємець, місце проживання: м. Вінниця, Вінницкій р-н., Вінницька обл.",280.0,19.97,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",2,Плясовиця Віталій Юрійович,"Громадянин України, народився 09.03.1981 р., освіта вища, безпартійний, Фізична особа-підприємець, місце проживання: м. Вінниця, Вінницкій р-н., Вінницька обл.",195.0,13.9,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",3,Головчук Юлія Олександрівна,"Громадянка України, народилася 15.11.1985 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""СЛУГА НАРОДУ"", Вінницький торговельно-економічний інститут КНТЕУ, Доцент кафедри маркетингу та реклами, місце проживання: м. Вінниця, Вінницкій р-н., Вінницька обл.",244.0,17.4,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",4,Сидоренко Дмитро Сергійович,"Громадянин України, народився 02.06.1990 р., освіта вища, безпартійний, Державне підприємство ""ЦЕНТР ДЗК"", Директор філії, місце проживання: м. Вінниця, Вінницкій р-н., Вінницька обл.",86.0,6.13,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",1,Волошенюк Оксана Валеріївна,"Громадянка України, народилася 22.07.1969 р., освіта вища, безпартійна, Товариство з обмеженою відповідальністю – підприємство ""АВІС"", Начальник юридичного відділу, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",261.0,18.61,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",1,Перлов Віктор Євгенійович,"Громадянин України, народився 16.09.1984 р., освіта вища, безпартійний, Вінницький національний технічний університет, Доцент кафедри опору матеріалів та прикладної механіки, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",321.0,22.89,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",1,Чернега Олександр Михайлович,"Громадянин України, народився 11.03.1983 р., освіта вища, безпартійний, Департамент архітектурно – будівельного контролю Вінницької міської ради, Директор, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",588.0,41.94,1
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",1,Ярова Світлана Андріївна,"Громадянка України, народилася 03.06.1991 р., освіта вища, безпартійна, Комунальний заклад ""Вінницький обласний молодіжний центр ""Квадрат"", Виконувач обов’язків директора, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",812.0,57.91,1
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",1,Андреєв Андрій Андрійович,"Громадянин України, народився 12.12.1964 р., освіта вища, безпартійний, Товариство з обмеженою діяльністю ""Трейдленд"", Заступник директора, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",830.0,59.2,1
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",1,Куца Світлана Валентинівна,"Громадянка України, народилася 04.05.1971 р., освіта вища, безпартійна, Комунальний заклад ""Загальноосвітня школа І-ІІІ ступенів № 10 Вінницької міської ради"", Директор, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",893.0,63.69,1
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",1,Мельник Олександр Сергійович,"Громадянин України, народився 30.10.1996 р., освіта вища, безпартійний, Фізична особа - підприємець, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",1399.0,99.78,1
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",2,Матвійчук Ярослав Володимирович,"Громадянин України, народився 17.04.1995 р., освіта вища, безпартійний, Фізична особа – підприємець, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",482.0,34.37,2
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",2,Павлюк Василь Петрович,"Громадянин України, народився 28.06.1977 р., освіта вища, безпартійний, Тимчасово не працює, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",569.0,40.58,2
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",2,Терліковський Вячеслав Васильович,"Громадянин України, народився 28.06.1983 р., освіта вища, безпартійний, Приватне акціонерне товариство ""Вінницький завод ""Маяк"", Заступник голови правління, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",606.0,43.22,2
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",2,Поджаренко Катерина Євгенівна,"Громадянка України, народилася 07.04.1977 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА"", Вінницький навчально-науковий інститут економіки Тернопільського національного економічного університету, Доцент кафедри ""Правове регулювання економіки та правознавства"", місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",653.0,46.57,2
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",2,Яблонський Павло Васильович,"Громадянин України, народився 11.07.1976 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА"", Вінницька міська рада, Секретар Вінницької міської ради, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",2304.0,164.33,2
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",3,Піжевський Андрій Анатолійович,"Громадянин України, народився 19.05.1981 р., освіта професійно-технічна, безпартійний, Вінницька приватна гімназія ""Дельфін"", Комерційний директор, місце проживання: с. Зарванці, Вінницький р-н, Вінницька обл.",471.0,33.59,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",3,Третяк Олександр Олександрович,"Громадянин України, народився 11.03.1992 р., освіта вища, безпартійний, Товариство з обмеженою відповідальністю – Науково-виробниче підприємство ""Аргон"", Директор, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",532.0,37.94,3
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",3,Василюк Світлана Михайлівна,"Громадянка України, народилася 20.07.1958 р., освіта вища, безпартійна, Департамент інформаційної діяльності та комунікацій з громадськістю Вінницької обласної державної адміністрації, Директор, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",596.0,42.51,3
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",3,Присяжнюк Тарас Миколайович,"Громадянин України, народився 18.10.1981 р., освіта вища, безпартійний, Товариство з обмеженою відповідальністю ""Поділля-залізобетон"", Директор, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",596.0,42.51,3
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",3,Ткачук Ігор Віталійович,"Громадянин України, народився 01.07.1973 р., освіта вища, безпартійний, Товариство з обмеженою відповідальністю фірма ""АЯГІК"", Юрист, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",909.0,64.83,3
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",3,Іващук Антоніна Янківна,"Громадянка України, народилася 26.11.1965 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА"", Відділ оперативного реагування ""Цілодобова варта"" Вінницької міської ради, Начальник, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",1365.0,97.36,3
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",4,Торкотюк Віктор Вікторович,"Громадянин України, народився 03.07.1980 р., освіта загальна середня, безпартійний, Збройні Сили України, Військовослужбовець, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",97.0,6.91,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",4,Літвінова Наталя Миколаївна,"Громадянка України, народилася 12.02.1973 р., освіта професійно-технічна, безпартійна, Фізична особа - підприємець, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",598.0,42.65,4
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",4,Мира Дмитро Вікторович,"Громадянин України, народився 24.05.1989 р., освіта вища, безпартійний, Комунальний заклад ""Центр підліткових клубів за місцем проживання"", Директор, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",957.0,68.25,4
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",4,Марцинковський Леонід Васильович,"Громадянин України, народився 16.08.1977 р., освіта вища, безпартійний, Адвокатське об’єднання ""Марцинковський і партнери"", Директор, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",1014.0,72.32,4
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",4,Бабій Петро Валерійович,"Громадянин України, народився 12.07.1975 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА"", Товариство з обмеженою відповідальністю ""УНІВЕРСАЛ-3"", Директор, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",1063.0,75.82,4
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",4,Чорновол Володимир Іванович,"Громадянин України, народився 11.09.1981 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА"", Комунальне підприємство ""Вінницьке шляхове управління"", Начальник, місце проживання: с. Зарванці, Вінницький р-н, Вінницька обл.",1834.0,130.81,4
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",5,Бабійчук Олег Миколайович,"Громадянин України, народився 18.03.1974 р., освіта вища, безпартійний, Товариство з обмеженою відповідальністю ""Агро – Форте"", Начальник відділу сільського господарства, місце проживання: с. Вінницькі Хутори, Вінницький р-н, Вінницька обл.",712.0,50.78,5
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",5,Дишкант Лілія Олексіївна,"Громадянка України, народилася 22.08.1987 р., освіта вища, безпартійна, Товариство з обмеженою відповідальністю ""АЛЬФА ВІС"", Директор, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",909.0,64.83,5
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",5,Власюк Алла Володимирівна,"Громадянка України, народилася 06.06.1973 р., освіта вища, безпартійна, Товариство з обмеженою відповідальністю ""Вінницька промислова компанія"", Генеральний директор, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",1193.0,85.09,5
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",5,Мацера Віктор Вікторович,"Громадянин України, народився 05.03.1970 р., освіта професійно-технічна, безпартійний, Фізична особа - підприємець, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",1300.0,92.72,5
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",6,Абушов Теймур Аловсат Огли,"Громадянин України, народився 31.01.1986 р., освіта вища, безпартійний, Приватний підприємець Абушов Аловсат Сардар огли, Юрисконсульт підприємства, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",567.0,40.44,6
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",6,Приймак Юлія Валеріївна,"Громадянка України, народилася 15.12.1984 р., освіта вища, безпартійна, Товариство з обмеженою відповідальністю ""Юридично-консалтингова група ""Прима"", Директор, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",720.0,51.35,6
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",6,Науменко Дмитро Олександрович,"Громадянин України, народився 05.11.1984 р., освіта вища, безпартійний, Писарівська сільська рада, Сільський голова, місце проживання: с. Щітки, Вінницький р-н, Вінницька обл.",889.0,63.4,6
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",6,Малінін Володимир Володимирович,"Громадянин України, народився 30.10.1970 р., освіта вища, безпартійний, Державна служба якості освіти у Вінницькій області, Начальник управління, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",972.0,69.32,6
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",6,Панчук Наталя Володимирівна,"Громадянка України, народилася 22.08.1960 р., освіта професійно-технічна, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА"", Квартальний комітет ""Дмитрівський"", Голова квартального комітету, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",1158.0,82.59,6
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",6,Онофрійчук Володимир Володимирович,"Громадянин України, народився 20.07.1984 р., освіта вища, безпартійний, Фізична особа - підприємець, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",1403.0,100.07,6
Вінницька область,Гніванська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",Перший кандидат,Вознюк Алла Вікторівна,"Громадянка України, народилася 22.02.1971 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Товариство з обмеженою відповідальністю ""Турбівський хлібоприймальний комплекс"", Директор, місце проживання: м. Гнівань,Вінницький р-н, Вінницька обл.",,,ЄБВО
Вінницька область,Гніванська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1,Стужук Ірина Сергіївна,"Громадянка України, народилася 01.08.1978 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", ДемидівськийФельшерсько-акушерський пункт Гніванської міської лікарні, Завідуюча, місце проживання: м. Гнівань,Вінницький р-н, Вінницька обл.",57.0,21.5,ЄБВО
Вінницька область,Гніванська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1,Поступайло Наталія Ростиславівна,"Громадянка України, народилася 13.08.1972 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Селищанський дитячий навчальний заклад, Завідуюча, місце проживання: с. Селище, Вінницький р-н, Вінницька обл.",109.0,41.0,1
Вінницька область,Гніванська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",2,Помикалова Лілія Анатоліївна,"Громадянка України, народилася 15.11.1968 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", Комунальнийзаклад""Центр культури та дозвілля ""Калина"", Завідуюча Грижинецької філії, місце проживання: м. Гнівань,Вінницький р-н, Вінницька обл.",7.0,2.64,ЄБВО
Вінницька область,Гніванська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Батьківщина""",4,Поліщук Анатолій Федорович,"Громадянин України, народився 08.02.1966 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", с.Демидівка, приватний підприємець, Приватний підприємець, місце проживання: с. Демидівка, Вінницький р-н, Вінницька обл.",131.0,49.43,4
Вінницька область,Гніванська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Свобода""",Перший кандидат,Худа Олександр Валерійович,"Громадянин України, народився 09.01.1978 р., освіта вища, член політичної партії Всеукраїнське об’єднання ""Свобода"", Селищанська ЗОШ, Вчитель, місце проживання: м. Гнівань Тиврівський р-н Вінницька обл.",,,ЄБВО
Вінницька область,Гніванська міська рада,Міські,"політична партія Всеукраїнське об’єднання ""Свобода""",1,Покорук Ольга Олександрівна,"Громадянка України, народилася 14.10.1992 р., освіта вища, безпартійна, Селищанська ЗОШ, Асистент вчителя, місце проживання: с. Селище Тиврівський р-н Вінницька обл.",31.0,11.69,ЄБВО
Вінницька область,Гніванська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Перший кандидат,Берещук Максим Вікторович,"Громадянин України, народився 12.06.1985 р., освіта вища, безпартійний, ПП ""Фармакс"", директор, місце проживання: м. Гнівань Тиврівський р-н Вінницька обл.",,,ЄБВО
Вінницька область,Гніванська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",1,Криницька Олена Василівна,"Громадянка України, народилася 02.11.1967 р., освіта професійно-технічна, безпартійна, Селищанська сільська рада, Секретар, місце проживання: с. Селище Тиврівський р-н Вінницька обл.",41.0,15.47,ЄБВО
Вінницька область,Гніванська міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",2,Романенко Станіслав Михайлович,"Громадянин України, народився 18.12.1978 р., освіта вища, безпартійний, Фізична особа-підприємець, місце проживання: м. Гнівань Тиврівський р-н Вінницька обл.",48.0,18.11,ЄБВО
