Партія,Регіон,Рада,Кількість обраних,Кількість висунутих
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Дніпропетровська область,Покровська міська рада,11,34
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Дніпропетровська область,Підгородненська міська рада,3,21
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Дніпропетровська область,Синельниківська міська рада,4,21
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Дніпропетровська область,Тернівська міська рада,5,26
"ПОЛІТИЧНА ПАРТІЯ ""СПРАВА""",Дніпропетровська область,Дніпровська міська рада,0,45
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА СЛАВЕТНА""",Вінницька область,Барська міська рада,3,34
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА СЛАВЕТНА""",Вінницька область,Ямпільська міська рада,2,22
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Іллінецька міська рада,7,26
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Барська міська рада,11,34
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Бершадська міська рада,10,34
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Вінницька міська рада,34,54
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Гайсинська міська рада,8,26
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Гніванська міська рада,9,26
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Жмеринська міська рада,10,34
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Калинівська міська рада,17,34
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Козятинська міська рада,9,26
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Ладижинська міська рада,4,25
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Липовецька міська рада,9,26
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Могилів-Подільська міська рада,9,33
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Немирівська міська рада,7,26
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Погребищенська міська рада,9,25
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Тульчинська міська рада,10,33
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Хмільницька міська рада,9,34
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Шаргородська міська рада,9,25
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька область,Ямпільська міська рада,9,26
"Партія ""Громадська сила""",Дніпропетровська область,Апостолівська міська рада,0,24
"Партія ""Громадська сила""",Дніпропетровська область,Вільногірська міська рада,2,26
"Партія ""Громадська сила""",Дніпропетровська область,Дніпровська міська рада,8,60
"Партія ""Громадська сила""",Дніпропетровська область,Новомосковська міська рада,0,17
"Партія ""Громадська сила""",Дніпропетровська область,Нікопольська міська рада,3,33
"Партія ""Громадська сила""",Дніпропетровська область,Павлоградська міська рада,3,21
"Партія ""Громадська сила""",Дніпропетровська область,Покровська міська рада,0,34
"Партія ""Громадська сила""",Дніпропетровська область,Підгородненська міська рада,3,26
Партія Зелених України,Дніпропетровська область,Дніпровська міська рада,0,64
Партія Зелених України,Дніпропетровська область,Новомосковська міська рада,4,36
Партія Зелених України,Дніпропетровська область,Підгородненська міська рада,3,23
Партія Пенсіонерів України,Волинська область,Нововолинська міська рада,0,26
Партія захисників Вітчизни,Дніпропетровська область,Марганецька міська рада,0,20
"Політична Партія ""ГОЛОС""",Волинська область,Луцька міська рада,0,31
"Політична Партія ""ГОЛОС""",Вінницька область,Барська міська рада,0,29
"Політична Партія ""ГОЛОС""",Вінницька область,Бершадська міська рада,4,34
"Політична Партія ""ГОЛОС""",Вінницька область,Вінницька міська рада,0,33
"Політична Партія ""ГОЛОС""",Вінницька область,Хмільницька міська рада,3,34
"Політична Партія ""ГОЛОС""",Дніпропетровська область,Верхньодніпровська міська рада,0,21
"Політична Партія ""ГОЛОС""",Дніпропетровська область,Дніпровська міська рада,0,41
"Політична Партія ""ГОЛОС""",Дніпропетровська область,П'ятихатська міська рада,0,16
"Політична Партія ""ГОЛОС""",Дніпропетровська область,Підгородненська міська рада,0,25
"Політична партія ""Громадянська позиція""",Волинська область,Володимир-Волинська міська рада,4,34
"Політична партія ""Громадянська позиція""",Волинська область,Нововолинська міська рада,0,26
"Політична партія ""Громадянська позиція""",Вінницька область,Гайсинська міська рада,0,22
"Політична партія ""Громадянська позиція""",Вінницька область,Жмеринська міська рада,0,28
"Політична партія ""Громадянська позиція""",Дніпропетровська область,Підгородненська міська рада,0,22
"Політична партія ""ЕКО ПАРТІЯ БЕРЕЗИ""",Волинська область,Луцька міська рада,0,42
"Політична партія ""НАШ КРАЙ""",Волинська область,Луцька міська рада,0,36
"Політична партія ""НАШ КРАЙ""",Вінницька область,Барська міська рада,0,22
"Політична партія ""НАШ КРАЙ""",Вінницька область,Бершадська міська рада,5,33
"Політична партія ""НАШ КРАЙ""",Вінницька область,Вінницька міська рада,0,32
"Політична партія ""НАШ КРАЙ""",Вінницька область,Гайсинська міська рада,0,34
"Політична партія ""НАШ КРАЙ""",Вінницька область,Гніванська міська рада,3,26
"Політична партія ""НАШ КРАЙ""",Вінницька область,Жмеринська міська рада,0,28
"Політична партія ""НАШ КРАЙ""",Вінницька область,Калинівська міська рада,0,34
"Політична партія ""НАШ КРАЙ""",Вінницька область,Козятинська міська рада,0,26
"Політична партія ""НАШ КРАЙ""",Вінницька область,Ладижинська міська рада,7,26
"Політична партія ""НАШ КРАЙ""",Вінницька область,Липовецька міська рада,0,23
"Політична партія ""НАШ КРАЙ""",Вінницька область,Могилів-Подільська міська рада,0,33
"Політична партія ""НАШ КРАЙ""",Вінницька область,Немирівська міська рада,3,26
"Політична партія ""НАШ КРАЙ""",Вінницька область,Тульчинська міська рада,0,18
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Верхньодніпровська міська рада,5,26
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Вільногірська міська рада,0,26
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Дніпровська міська рада,0,58
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Жовтоводська міська рада,0,32
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Кам'янська міська рада,0,40
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Криворізька міська рада,0,36
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Марганецька міська рада,0,19
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Новомосковська міська рада,0,26
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Нікопольська міська рада,0,29
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,П'ятихатська міська рада,0,16
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Павлоградська міська рада,0,21
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Першотравенська міська рада,0,15
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Покровська міська рада,0,20
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Підгородненська міська рада,0,25
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Синельниківська міська рада,0,16
"Політична партія ""НАШ КРАЙ""",Дніпропетровська область,Тернівська міська рада,2,21
"Політична партія ""НОВА ПОЛІТИКА""",Вінницька область,Хмільницька міська рада,0,34
"Політична партія ""НОВА ПОЛІТИКА""",Дніпропетровська область,Новомосковська міська рада,3,31
"Політична партія ""Народний Рух України""",Волинська область,Ківерцівська міська рада,4,25
"Політична партія ""Народний Рух України""",Волинська область,Луцька міська рада,0,36
"Політична партія ""Народний Рух України""",Вінницька область,Вінницька міська рада,0,33
"Політична партія ""Нові обличчя""",Дніпропетровська область,Нікопольська міська рада,0,32
"Політична партія ""Об’єднання ""САМОПОМІЧ""",Волинська область,Володимир-Волинська міська рада,3,25
"Політична партія ""Об’єднання ""САМОПОМІЧ""",Волинська область,Горохівська міська рада,0,18
"Політична партія ""Об’єднання ""САМОПОМІЧ""",Волинська область,Камінь-Каширська міська рада,0,23
"Політична партія ""Об’єднання ""САМОПОМІЧ""",Волинська область,Нововолинська міська рада,0,28
"Політична партія ""Об’єднання ""САМОПОМІЧ""",Волинська область,Рожищенська міська рада,3,22
"Політична партія ""Об’єднання ""САМОПОМІЧ""",Вінницька область,Барська міська рада,2,31
"Політична партія ""Об’єднання ""САМОПОМІЧ""",Вінницька область,Гайсинська міська рада,4,27
"Політична партія ""Об’єднання ""САМОПОМІЧ""",Дніпропетровська область,Павлоградська міська рада,0,25
"Політична партія ""Об’єднання ""САМОПОМІЧ""",Дніпропетровська область,Тернівська міська рада,0,16
"Політична партія ""ПОБРАТИМИ УКРАЇНИ""",Волинська область,Ковельська міська рада,0,21
"Політична партія ""Перемога Пальчевського""",Волинська область,Луцька міська рада,0,30
"Політична партія ""Радикальна Партія Олега Ляшка""",Волинська область,Берестечківська міська рада,1,
"Політична партія ""Радикальна Партія Олега Ляшка""",Волинська область,Горохівська міська рада,3,26
"Політична партія ""Радикальна Партія Олега Ляшка""",Волинська область,Ковельська міська рада,0,23
"Політична партія ""Радикальна Партія Олега Ляшка""",Волинська область,Любомльська міська рада,4,26
"Політична партія ""Радикальна Партія Олега Ляшка""",Волинська область,Нововолинська міська рада,0,29
"Політична партія ""Радикальна Партія Олега Ляшка""",Волинська область,Рожищенська міська рада,0,17
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Іллінецька міська рада,2,25
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Барська міська рада,3,34
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Вінницька міська рада,0,36
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Жмеринська міська рада,0,34
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Козятинська міська рада,0,18
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Ладижинська міська рада,0,21
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Липовецька міська рада,0,16
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Могилів-Подільська міська рада,0,16
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Немирівська міська рада,6,26
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Погребищенська міська рада,0,21
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Тульчинська міська рада,3,24
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Хмільницька міська рада,0,30
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Шаргородська міська рада,0,21
"Політична партія ""Радикальна Партія Олега Ляшка""",Вінницька область,Ямпільська міська рада,0,24
"Політична партія ""Радикальна Партія Олега Ляшка""",Дніпропетровська область,Підгородненська міська рада,3,26
"Політична партія ""Рідне місто""",Вінницька область,Козятинська міська рада,0,18
"Політична партія ""Сила Людей""",Вінницька область,Козятинська міська рада,0,21
"Політична партія ""Сила Людей""",Дніпропетровська область,Вільногірська міська рада,0,26
"Політична партія ""Сила Людей""",Дніпропетровська область,Зеленодольська міська рада,8,25
"Політична партія ""Сила Людей""",Дніпропетровська область,Кам'янська міська рада,0,35
"Політична партія ""Сила Людей""",Дніпропетровська область,Криворізька міська рада,5,54
"Політична партія ""Сила і Честь""",Волинська область,Володимир-Волинська міська рада,4,34
"Політична партія ""Сила і Честь""",Волинська область,Горохівська міська рада,2,19
"Політична партія ""Сила і Честь""",Волинська область,Ковельська міська рада,4,38
"Політична партія ""Сила і Честь""",Волинська область,Луцька міська рада,0,30
"Політична партія ""Сила і Честь""",Волинська область,Любомльська міська рада,5,26
"Політична партія ""Сила і Честь""",Волинська область,Нововолинська міська рада,0,26
"Політична партія ""Сила і Честь""",Вінницька область,Барська міська рада,0,30
"Політична партія ""Сила і Честь""",Вінницька область,Бершадська міська рада,0,28
"Політична партія ""Сила і Честь""",Вінницька область,Вінницька міська рада,0,34
"Політична партія ""Сила і Честь""",Вінницька область,Гайсинська міська рада,0,23
"Політична партія ""Сила і Честь""",Вінницька область,Жмеринська міська рада,3,34
"Політична партія ""Сила і Честь""",Вінницька область,Калинівська міська рада,0,31
"Політична партія ""Сила і Честь""",Вінницька область,Козятинська міська рада,0,20
"Політична партія ""Сила і Честь""",Вінницька область,Ладижинська міська рада,2,17
"Політична партія ""Сила і Честь""",Вінницька область,Могилів-Подільська міська рада,0,16
"Політична партія ""Сила і Честь""",Вінницька область,Немирівська міська рада,0,21
"Політична партія ""Сила і Честь""",Вінницька область,Тульчинська міська рада,0,16
"Політична партія ""Сила і Честь""",Вінницька область,Шаргородська міська рада,0,20
"Політична партія ""Сила і Честь""",Вінницька область,Ямпільська міська рада,3,25
"Політична партія ""Сила і Честь""",Дніпропетровська область,Кам'янська міська рада,0,31
"Політична партія ""Сила і Честь""",Дніпропетровська область,Нікопольська міська рада,0,25
"Політична партія ""Сила і Честь""",Дніпропетровська область,Покровська міська рада,0,21
"Політична партія ""Сила і Честь""",Дніпропетровська область,Підгородненська міська рада,2,26
"Політична партія ""Солідарність жінок України""",Дніпропетровська область,Вільногірська міська рада,2,26
Політична партія ДемАльянс (Демократичний альянс),Дніпропетровська область,Дніпровська міська рада,0,52
Самовисування,Волинська область,Берестечківська міська рада,2,
Самовисування,Волинська область,Устилузька міська рада,10,
Самовисування,Дніпропетровська область,Верхівцівська міська рада,7,
Українська Народна Партія,Волинська область,Камінь-Каширська міська рада,5,34
Українська Народна Партія,Волинська область,Ковельська міська рада,0,34
"Українська партія честі, боротьби з корупцією та організованою злочинністю",Вінницька область,Вінницька міська рада,0,54
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Волинська область,Берестечківська міська рада,1,
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Волинська область,Володимир-Волинська міська рада,4,31
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Волинська область,Горохівська міська рада,3,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Волинська область,Камінь-Каширська міська рада,5,34
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Волинська область,Ковельська міська рада,5,38
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Волинська область,Ківерцівська міська рада,4,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Волинська область,Луцька міська рада,4,42
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Волинська область,Любомльська міська рада,3,25
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Волинська область,Нововолинська міська рада,5,33
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Волинська область,Рожищенська міська рада,5,25
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Волинська область,Устилузька міська рада,2,
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Іллінецька міська рада,5,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Барська міська рада,3,34
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Бершадська міська рада,0,34
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Вінницька міська рада,0,43
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Гайсинська міська рада,4,32
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Гніванська міська рада,5,21
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Жмеринська міська рада,4,33
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Калинівська міська рада,4,32
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Козятинська міська рада,3,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Ладижинська міська рада,3,17
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Липовецька міська рада,5,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Могилів-Подільська міська рада,3,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Немирівська міська рада,7,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Погребищенська міська рада,4,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Тульчинська міська рада,4,28
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Хмільницька міська рада,4,31
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Шаргородська міська рада,5,25
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Вінницька область,Ямпільська міська рада,3,25
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Апостолівська міська рада,2,21
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Верхньодніпровська міська рада,0,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Вільногірська міська рада,3,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Дніпровська міська рада,0,63
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Жовтоводська міська рада,3,34
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Зеленодольська міська рада,0,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Кам'янська міська рада,0,39
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Криворізька міська рада,0,54
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Марганецька міська рада,3,34
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Новомосковська міська рада,4,37
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Нікопольська міська рада,3,38
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,П'ятихатська міська рада,6,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Павлоградська міська рада,3,37
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Перещепинська міська рада,3,25
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Першотравенська міська рада,0,24
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Покровська міська рада,0,34
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Підгородненська міська рада,0,26
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Синельниківська міська рада,3,25
"політична партія Всеукраїнське об’єднання ""Батьківщина""",Дніпропетровська область,Тернівська міська рада,3,26
"політична партія Всеукраїнське об’єднання ""Свобода""",Волинська область,Берестечківська міська рада,5,
"політична партія Всеукраїнське об’єднання ""Свобода""",Волинська область,Володимир-Волинська міська рада,0,26
"політична партія Всеукраїнське об’єднання ""Свобода""",Волинська область,Горохівська міська рада,3,25
"політична партія Всеукраїнське об’єднання ""Свобода""",Волинська область,Камінь-Каширська міська рада,0,29
"політична партія Всеукраїнське об’єднання ""Свобода""",Волинська область,Ковельська міська рада,3,30
"політична партія Всеукраїнське об’єднання ""Свобода""",Волинська область,Ківерцівська міська рада,0,22
"політична партія Всеукраїнське об’єднання ""Свобода""",Волинська область,Луцька міська рада,5,42
"політична партія Всеукраїнське об’єднання ""Свобода""",Волинська область,Любомльська міська рада,3,26
"політична партія Всеукраїнське об’єднання ""Свобода""",Волинська область,Нововолинська міська рада,5,33
"політична партія Всеукраїнське об’єднання ""Свобода""",Волинська область,Устилузька міська рада,1,
"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область,Бершадська міська рада,0,17
"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область,Вінницька міська рада,0,32
"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область,Гайсинська міська рада,0,32
"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область,Гніванська міська рада,2,21
"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область,Жмеринська міська рада,0,31
"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область,Калинівська міська рада,0,27
"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область,Ладижинська міська рада,0,18
"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область,Могилів-Подільська міська рада,0,16
"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область,Погребищенська міська рада,3,22
"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область,Тульчинська міська рада,0,19
"політична партія Всеукраїнське об’єднання ""Свобода""",Вінницька область,Шаргородська міська рада,0,23
"політична партія Всеукраїнське об’єднання ""Свобода""",Дніпропетровська область,Апостолівська міська рада,2,25
"політична партія Всеукраїнське об’єднання ""Свобода""",Дніпропетровська область,Верхньодніпровська міська рада,2,23
"політична партія Всеукраїнське об’єднання ""Свобода""",Дніпропетровська область,Дніпровська міська рада,0,45
"політична партія Всеукраїнське об’єднання ""Свобода""",Дніпропетровська область,Кам'янська міська рада,0,39
